vote,gender,vote_different_than_at_least_one_of_your_parent,minority
Kamala Harris,0,0,1
Kamala Harris,1,1,0
Kamala Harris,0,0,0
Donald Trump,1,0,1
Kamala Harris,1,1,0
Kamala Harris,1,0,0
Other,2,2,2
Kamala Harris,1,1,0
Kamala Harris,1,0,0
Donald Trump,1,0,0
Kamala Harris,0,0,1
Donald Trump,1,1,0
Donald Trump,1,0,0
Other,1,1,0
Donald Trump,0,0,0
Kamala Harris,1,0,0
Donald Trump,1,0,0
Kamala Harris,0,0,0
Donald Trump,1,0,0
Donald Trump,1,0,0
Donald Trump,0,1,1
Donald Trump,1,0,0
Donald Trump,1,0,1
Kamala Harris,1,0,1
Kamala Harris,0,1,0
Donald Trump,1,0,0
Donald Trump,1,0,0
Donald Trump,1,0,0
Donald Trump,0,0,0
Other,0,1,0
Donald Trump,0,1,1
Kamala Harris,1,0,1
Kamala Harris,1,0,1
Kamala Harris,0,1,0
Donald Trump,1,1,0
Donald Trump,1,0,0
Donald Trump,0,0,1
Donald Trump,1,1,0
Donald Trump,1,0,0
Kamala Harris,0,1,1
Donald Trump,1,1,1
Donald Trump,1,1,1
Donald Trump,1,1,0
Donald Trump,1,0,0
Kamala Harris,1,1,0
Kamala Harris,0,0,0
Kamala Harris,0,0,1
Donald Trump,1,0,0
Other,1,1,0
Donald Trump,1,0,1
Donald Trump,1,0,0
Kamala Harris,1,1,0
Kamala Harris,1,1,0
Donald Trump,1,0,0
Donald Trump,2,2,2
Kamala Harris,1,1,0
Kamala Harris,0,0,0
Kamala Harris,1,1,0
Donald Trump,1,1,0
Kamala Harris,0,0,0
Other,0,0,0
Kamala Harris,0,0,0
Donald Trump,1,1,0
Kamala Harris,1,1,0
Donald Trump,1,0,0
Kamala Harris,1,0,1
Kamala Harris,1,0,0
Donald Trump,1,0,0
Kamala Harris,0,1,0
Kamala Harris,1,0,0
Other,1,1,0
Donald Trump,1,0,0
Kamala Harris,0,1,0
Kamala Harris,0,1,0
Donald Trump,1,1,0
Donald Trump,1,1,0
Donald Trump,1,0,1
Donald Trump,1,0,0
Kamala Harris,0,0,0
Kamala Harris,1,0,0
Other,2,2,2
Kamala Harris,0,0,0
Kamala Harris,1,0,1
Donald Trump,1,0,0
Other,1,1,0
Donald Trump,1,0,0
Kamala Harris,1,0,0
Donald Trump,1,0,0
Kamala Harris,1,0,0
Kamala Harris,1,0,0
Donald Trump,1,1,1
Donald Trump,0,0,0
Kamala Harris,1,1,0
Other,1,1,0
Donald Trump,1,0,0
Donald Trump,1,0,0
Donald Trump,1,1,0
Kamala Harris,1,0,0
Donald Trump,1,0,0
Other,0,1,0
Donald Trump,1,0,0
Donald Trump,1,0,0
Other,0,1,0
Donald Trump,1,0,0
Donald Trump,1,1,0
Donald Trump,1,1,0
Kamala Harris,1,0,0
Kamala Harris,1,1,0
Kamala Harris,1,0,0
Donald Trump,1,0,0
Donald Trump,1,1,0
Kamala Harris,1,0,0
Kamala Harris,2,1,0
Donald Trump,1,1,0
Donald Trump,1,0,0
Kamala Harris,1,0,0
Donald Trump,1,1,0
Donald Trump,0,1,0
Donald Trump,1,1,0
Kamala Harris,1,0,1
Other,1,1,0